name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Thermoanaerosceptrum fracticalcis	1712410	species	3805411	4	0	0.0
Fischerella sp. NIES-3754	1752063	species	5826863	3	0	0.0
cyanobacterium endosymbiont of Rhopalodia gibberula	1763363	species	3020309	7	0	0.0
Synechococcales	1890424	order	3311113	46	0	0.0
Acaryochloridaceae	1890429	family	8361599	1	0	0.0
Pseudanabaenaceae	1890436	family	0	1	0	0.0
Aphanothecaceae	1890450	family	4916521	2	0	0.0
Chroococcidiopsidaceae	1890528	family	6689401	5	0	0.0
Microcoleaceae	1892252	family	7750108	2	0	0.0
Aphanizomenonaceae	1892259	family	4630420	20	0	0.0
Parageobacillus	1906945	genus	3658426	1	0	0.0
Dolichospermum sp. UHCC 0315A	1914871	species	5642022	81	0	0.0
Calothrix sp. NIES-3974	2005462	species	5985875	1	0	0.0
Oxynema sp. AP17	2064643	species	6357750	2	1	0.0
Synechocystis sp. IPPAS B-1465	2116702	species	3950993	6	0	0.0
Erythrobacter aureus	2182384	species	3372129	1	0	0.0
Crocosphaera subtropica	2546360	species	5460377	1	0	0.0
Rippkaea orientalis	2546366	species	4795520	269	0	0.0
Brevundimonas sp. Bb-A	2560058	species	3281994	1	1	0.0
Nostoc sp. C052	2576902	species	9879831	2	2	0.0
Nostoc sp. TCL26-01	2576904	species	7387676	6	1	0.0
Spirosoma taeanense	2735870	species	5719932	1	0	0.0
Streptomyces sp. CB00271	2750025	species	8309852	1	1	0.0
Nostoc sp. UHCC 0702	2814655	species	8587404	5	0	0.0
